rank,name,region,feeds,homepage,tier,enabled,notes
1,BBC News,英国/全球,https://feeds.bbci.co.uk/news/world/rss.xml;https://feeds.bbci.co.uk/news/business/rss.xml,https://www.bbc.com/news,top30,1,全球影响力第一梯队 世界+商业
2,The New York Times,美国,https://rss.nytimes.com/services/xml/rss/nyt/World.xml;https://rss.nytimes.com/services/xml/rss/nyt/Economy.xml;https://rss.nytimes.com/services/xml/rss/nyt/Business.xml,https://www.nytimes.com,top30,1,世界/经济/商业
3,CNN,美国/全球,http://rss.cnn.com/rss/edition_world.rss;http://rss.cnn.com/rss/money_news_international.rss,https://www.cnn.com,top30,1,国际版世界+财经
4,The Guardian,英国,https://www.theguardian.com/world/rss;https://www.theguardian.com/business/rss;https://www.theguardian.com/environment/rss,https://www.theguardian.com,top30,1,世界/商业/环境能源
5,Associated Press,美国/全球,https://feeds.apnews.com/rss/apf-worldnews;https://feeds.apnews.com/rss/apf-business,https://apnews.com,top30,1,美联社 全球通讯社
6,Washington Post,美国,https://feeds.washingtonpost.com/rss/world;https://feeds.washingtonpost.com/rss/business,https://www.washingtonpost.com,top30,1,世界/商业 政策报道强
7,Reuters,英国/全球,https://news.google.com/rss/search?q=site%3Areuters.com+when%3A1d&hl=en-US&gl=US&ceid=US:en;https://news.google.com/rss/search?q=site%3Areuters.com+(business+OR+markets+OR+oil+OR+opec)+when%3A1d&hl=en-US&gl=US&ceid=US:en,https://www.reuters.com,top30,1,路透社（官网已停RSS 经Google News站内检索稳定获取）
8,Al Jazeera English,卡塔尔/全球南方,https://www.aljazeera.com/xml/rss/all.xml,https://www.aljazeera.com,top30,1,中东报道权威 全部新闻
9,Bloomberg,美国/全球,https://feeds.bloomberg.com/markets/news.rss;https://feeds.bloomberg.com/politics/news.rss,https://www.bloomberg.com,top30,1,市场+政治 标题免费
10,CNBC,美国,https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=100003114;https://search.cnbc.com/rs/search/combinedcms/view.xml?partnerId=wrss01&id=10000664,https://www.cnbc.com,top30,1,世界+商业
11,Financial Times,英国/全球,https://www.ft.com/world?format=rss;https://www.ft.com/markets?format=rss,https://www.ft.com,top30,1,世界+市场 标题摘要免费
12,The Wall Street Journal,美国,https://feeds.a.dj.com/rss/RSSWorldNews.xml;https://feeds.a.dj.com/rss/RSSMarketsMain.xml,https://www.wsj.com,top30,1,世界+市场
13,The Economist,英国/全球,https://www.economist.com/international/rss.xml;https://www.economist.com/finance-and-economics/rss.xml,https://www.economist.com,top30,1,国际+金融经济
14,NPR,美国,https://feeds.npr.org/1004/rss.xml;https://feeds.npr.org/1006/rss.xml,https://www.npr.org,top30,1,世界+商业
15,Politico,美国,https://www.politico.com/rss/politicopicks.xml;https://www.politico.com/rss/energy.xml,https://www.politico.com,top30,1,美国政治+能源政策专线
16,The Hill,美国,https://thehill.com/feed/,https://thehill.com,top30,1,美国国会与政策
17,Axios,美国,https://api.axios.com/feed/,https://www.axios.com,top30,1,政经快讯
18,USA Today,美国,https://rssfeeds.usatoday.com/usatodaycomworld-topstories;https://rssfeeds.usatoday.com/usatodaycommoney-topstories,https://www.usatoday.com,top30,1,世界+财经
19,Fox News,美国,http://feeds.foxnews.com/foxnews/world;http://feeds.foxnews.com/foxnews/business,https://www.foxnews.com,top30,1,世界+商业
20,NBC News,美国,https://feeds.nbcnews.com/nbcnews/public/world;https://feeds.nbcnews.com/nbcnews/public/business,https://www.nbcnews.com,top30,1,世界+商业
